techs,parameters,2023,2025,2030,2035,2040,2045,2050
oil,flow_cap_new_max_rate,0,0,0,0,0,0,0
coal,flow_cap_new_max_rate,0,0,0,0,0,0,0
ccgt,flow_cap_new_max_rate,0,0,0,0,0,0,0
waste,flow_cap_new_max_rate,0,10,10,10,10,10,10
bioenergy,flow_cap_new_max_rate,0,0.25,0.25,0.25,0.25,0.25,0.25
nuclear,flow_cap_new_max_rate,0,0,0,0,0,0,0
onshore_wind,flow_cap_new_max_rate,0,0.25,0.25,0.25,0.25,0.25,0.25
offshore_wind,flow_cap_new_max_rate,0,0.25,0.25,0.25,0.25,0.25,0.25
pv,flow_cap_new_max_rate,0,0.25,0.25,0.25,0.25,0.25,0.25
hydropower,flow_cap_new_max_rate,0,10,10,10,10,10,10
tidal,flow_cap_new_max_rate,0,0,5,10,50,100,100
battery_li,flow_cap_new_max_rate,0,0,0,0,0,0,0
battery_phs,flow_cap_new_max_rate,0,0,10,10,10,10,10
import_electricity,flow_cap_new_max_rate,0,0.05,0.05,0.05,0.05,0.05,0.05
export_electricity,flow_cap_new_max_rate,0,0.05,0.05,0.05,0.05,0.05,0.05
ac_CON_to_MUN,flow_cap_new_max_rate_fixed,0,0.05,0.05,0.05,0.05,0.05,0.05
ac_CON_to_ULS,flow_cap_new_max_rate_fixed,0,0.05,0.05,0.05,0.05,0.05,0.05
ac_LEI_to_CON,flow_cap_new_max_rate_fixed,0,0.05,0.05,0.05,0.05,0.05,0.05
ac_LEI_to_ULS,flow_cap_new_max_rate_fixed,0,0.05,0.05,0.05,0.05,0.05,0.05
ac_LEI_to_MUN,flow_cap_new_max_rate_fixed,0,0.05,0.05,0.05,0.05,0.05,0.05
