nodes,techs,parameters,values
CON,bioenergy,flow_cap_max,121793
CON,nuclear,flow_cap_max,600000
CON,onshore_wind,flow_cap_max,2520274
CON,offshore_wind,flow_cap_max,10595670
CON,pv,flow_cap_max,4593879
CON,hydropower,flow_cap_max,9181
CON,tidal,flow_cap_max,2
LEI,waste,flow_cap_max,52420
LEI,bioenergy,flow_cap_max,591158
LEI,nuclear,flow_cap_max,300000
LEI,onshore_wind,flow_cap_max,2817204
LEI,offshore_wind,flow_cap_max,2833067
LEI,pv,flow_cap_max,22297739
LEI,hydropower,flow_cap_max,57747
LEI,tidal,flow_cap_max,72
LEI,battery_phs,flow_cap_max,292000
LEI,battery_phs,storage_cap_max,1421400
MUN,bioenergy,flow_cap_max,282845
MUN,nuclear,flow_cap_max,300000
MUN,onshore_wind,flow_cap_max,3511937
MUN,offshore_wind,flow_cap_max,11750690
MUN,pv,flow_cap_max,10668549
MUN,hydropower,flow_cap_max,136431
MUN,tidal,flow_cap_max,34
MUN,battery_phs,flow_cap_max,360000
MUN,battery_phs,storage_cap_max,2160000
ULS,bioenergy,flow_cap_max,64685
ULS,nuclear,flow_cap_max,300000
ULS,onshore_wind,flow_cap_max,1150585
ULS,offshore_wind,flow_cap_max,4820572
ULS,pv,flow_cap_max,2439833
ULS,hydropower,flow_cap_max,85139
ULS,tidal,flow_cap_max,4

