reference,Diversity of options to eliminate fossil fuels and reach carbon neutrality across the entire European energy system - ScienceDirect,,,
comment,Regional 2016 demand for heat electrification,,,
nodes,CON,LEI,MUN,ULS
techs,demand_electrified_heat,demand_electrified_heat,demand_electrified_heat,demand_electrified_heat
parameters,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals
timesteps,,,,
2016/01/01 00:00,66601.1632,263486.061,120446.1638,37692.3147
2016/01/01 01:00,69063.7036,277158.2057,127232.7703,38899.744
2016/01/01 02:00,70993.9869,282703.4781,129447.7284,40090.8638
2016/01/01 03:00,77437.547,316757.7085,146403.8574,43335.3089
2016/01/01 04:00,86329.0694,370543.1944,173460.4265,47478.1325
2016/01/01 05:00,109349.3119,466217.2795,216842.092,60258.946
2016/01/01 06:00,124313.996,534460.26,248973.167,68305.299
2016/01/01 07:00,119333.3849,513224.3267,239021.996,65552.7806
2016/01/01 08:00,124963.4794,534858.65,249679.337,68786.1385
2016/01/01 09:00,118795.1953,493068.144,227827.861,66110.7062
2016/01/01 10:00,113801.7673,465832.5721,214282.693,63639.2124
2016/01/01 11:00,108175.5856,439675.2085,201708.3795,60637.641
2016/01/01 12:00,105812.6215,430133.26,197355.264,59309.5311
2016/01/01 13:00,110635.8727,450886.6689,207561.925,61972.608
2016/01/01 14:00,112842.657,460982.189,212494.23,63159.9806
2016/01/01 15:00,118252.1756,488149.8915,226060.39,65960.0534
2016/01/01 16:00,123555.1188,512026.3291,237481.2446,68825.277
2016/01/01 17:00,125299.4265,526083.4081,244858.0306,69470.954
2016/01/01 18:00,126451.8109,537377.1211,251078.424,69807.1954
2016/01/01 19:00,123975.0209,533430.0199,250032.5885,68127.4084
2016/01/01 20:00,117556.6978,506277.1047,237152.338,64570.6224
2016/01/01 21:00,105960.2642,453932.8987,212271.2646,58311.311
2016/01/01 22:00,83928.4963,350355.7718,162492.2826,46613.0724
2016/01/01 23:00,69945.0424,284842.7891,131315.8556,39193.9938
2016/01/02 00:00,58935.5983,229921.7461,118012.6091,30277.1403
2016/01/02 01:00,62355.6103,245013.6643,125816.2966,32085.4046
2016/01/02 02:00,63698.1537,249181.6206,127903.2049,32746.0723
2016/01/02 03:00,70827.6468,281291.8887,144383.0676,36530.9014
2016/01/02 04:00,83069.6987,335061.3109,172471.892,43003.2697
2016/01/02 05:00,105389.5326,418629.4063,216268.2145,54397.5486
2016/01/02 06:00,123207.7996,490953.0448,253792.991,63655.5571
2016/01/02 07:00,117568.246,467312.088,241827.446,60715.2526
2016/01/02 08:00,121252.2692,485804.6944,250632.368,62697.1759
2016/01/02 09:00,112281.5838,443048.5848,228596.616,57863.304
2016/01/02 10:00,106971.9546,419798.6463,216483.6116,55056.457
2016/01/02 11:00,101225.8594,395528.4077,204009.604,52049.524
2016/01/02 12:00,98680.5698,385679.5355,198915.959,50743.0174
2016/01/02 13:00,102228.8166,402364.6222,207086.707,52635.097
2016/01/02 14:00,105059.5786,415268.6266,213581.493,54137.0662
2016/01/02 15:00,110837.6002,441943.647,227034.615,57217.454
2016/01/02 16:00,116010.924,463482.7629,238050.256,59910.331
2016/01/02 17:00,118549.5686,475075.3622,244224.928,61270.0807
2016/01/02 18:00,121448.1727,489983.2359,251912.005,62862.3516
2016/01/02 19:00,119965.62,485211.1968,249666.0905,62136.63
2016/01/02 20:00,114092.6726,460639.7303,237249.2846,59074.985
2016/01/02 21:00,102240.6026,411371.7422,211935.343,52897.8013
2016/01/02 22:00,79731.2639,317115.6234,163349.023,41139.4016
2016/01/02 23:00,64780.8601,256424.5,131822.4164,33383.7913
2016/01/03 00:00,54263.5973,217472.4805,103112.3375,29311.2003
2016/01/03 01:00,57744.7017,233385.4306,110733.2719,31100.6376
2016/01/03 02:00,60243.4866,243558.5713,115796.835,32507.1118
2016/01/03 03:00,66839.2118,272218.749,129361.8529,35941.6294
2016/01/03 04:00,80027.0614,328397.5287,155635.9661,42770.3747
2016/01/03 05:00,105655.8276,430028.4024,203051.793,56450.0714
2016/01/03 06:00,118060.0194,477332.9134,224552.114,63056.983
2016/01/03 07:00,111134.562,448351.3992,210596.547,59316.716
2016/01/03 08:00,114006.8027,463544.1857,218908.626,60958.2675
2016/01/03 09:00,105765.291,426883.6599,201507.7575,56699.5165
2016/01/03 10:00,97992.2054,392694.8297,185124.0165,52633.436
2016/01/03 11:00,95723.5306,384173.8252,181372.8346,51442.2059
2016/01/03 12:00,92969.4686,373358.2763,176234.335,49942.5378
2016/01/03 13:00,94350.5848,380295.2649,180033.3741,50763.416
2016/01/03 14:00,92522.6487,371292.4207,175426.4104,49792.611
2016/01/03 15:00,99848.7802,404960.6743,191875.5548,53646.7063
2016/01/03 16:00,106002.5527,431208.0084,204471.0905,56918.3954
2016/01/03 17:00,111793.6398,456494.3301,216539.906,59942.8712
2016/01/03 18:00,115697.7996,474714.6752,225244.0754,61925.1582
2016/01/03 19:00,114938.8377,472208.4762,223933.1,61451.5574
2016/01/03 20:00,110078.9331,451884.0343,214075.295,58800.6362
2016/01/03 21:00,97984.4514,400193.3311,189395.4204,52398.7942
2016/01/03 22:00,77437.6773,315259.8062,149271.9419,41470.1998
2016/01/03 23:00,61891.9456,251220.019,119260.8409,33274.4279
2016/01/04 00:00,53596.45115,227689.8021,105853.6137,28193.7509
2016/01/04 01:00,58595.5838,248572.0948,115441.0289,30818.1143
2016/01/04 02:00,55988.446,237073.8916,109906.3456,29442.944
2016/01/04 03:00,61568.9339,259774.1183,120072.2956,32365.5925
2016/01/04 04:00,75618.176,317390.3839,146108.1166,39717.8339
2016/01/04 05:00,103095.6936,431233.4724,198000.218,54112.433
2016/01/04 06:00,113775.081,476714.3618,219117.439,59735.0666
2016/01/04 07:00,104153.3267,434175.2595,198744.7585,54645.2935
2016/01/04 08:00,106098.725,446789.7629,206199.9405,55739.7454
2016/01/04 09:00,98922.3707,416235.6017,192005.75,51960.8222
2016/01/04 10:00,92820.4305,390431.1257,180045.721,48753.105
2016/01/04 11:00,89104.2818,374774.1627,172836.989,46798.5177
2016/01/04 12:00,86612.7999,364116.4983,167845.7534,45487.241
2016/01/04 13:00,89429.9999,378036.9491,174997.545,47005.1236
2016/01/04 14:00,92362.1041,390968.2889,181183.8004,48556.4523
2016/01/04 15:00,97654.7446,414864.7099,192765.21,51367.3923
2016/01/04 16:00,103808.0925,441169.1501,205059.44,54606.0698
2016/01/04 17:00,108359.7603,459861.2211,213518.9314,56988.4773
2016/01/04 18:00,111431.126,472888.0016,219548.6695,58604.0193
2016/01/04 19:00,111464.6028,472408.5964,219095.679,58610.0453
2016/01/04 20:00,107560.5432,454859.931,210628.509,56536.4633
2016/01/04 21:00,95030.2124,400906.8216,185301.6134,49933.1325
2016/01/04 22:00,75776.225,319927.1224,148017.97,39814.663
2016/01/04 23:00,59559.4182,252304.6661,117045.7802,31311.4918
2016/01/05 00:00,54746.3508,237339.9037,116104.8287,28615.646
2016/01/05 01:00,58284.7214,252392.8159,123425.8276,30456.6637
2016/01/05 02:00,59289.0607,256810.0072,125588.2913,30986.505
2016/01/05 03:00,67136.5513,291119.4266,142403.352,35098.2088
2016/01/05 04:00,80218.085,346162.3999,169110.8958,41881.1171
2016/01/05 05:00,100637.4635,430307.8874,209676.5265,52413.982
2016/01/05 06:00,115736.381,494051.7982,240605.69,60263.342
2016/01/05 07:00,111092.3125,473613.863,230617.52,57824.236
2016/01/05 08:00,114683.6875,493010.9717,240622.584,59815.4846
2016/01/05 09:00,105472.0212,452857.8827,220970.524,54991.29
2016/01/05 10:00,99538.0616,427460.4113,208584.503,51899.087
2016/01/05 11:00,93116.2341,399477.0029,194877.602,48536.293
2016/01/05 12:00,91616.6126,393168.6942,191814.2574,47758.2985
2016/01/05 13:00,95123.9163,410322.5003,200432.683,49653.0107
2016/01/05 14:00,96830.8594,418042.794,204240.073,50555.8334
2016/01/05 15:00,102882.4474,445449.9858,217763.606,53757.7611
2016/01/05 16:00,108643.5236,470623.5153,230104.922,56773.7338
2016/01/05 17:00,112061.3915,484830.764,236970.5926,58540.445
2016/01/05 18:00,116379.8406,503774.7384,246260.2856,60804.175
2016/01/05 19:00,115786.2215,500528.1694,244580.0805,60472.6125
2016/01/05 20:00,109641.6229,472800.7095,230900.2805,57224.4886
2016/01/05 21:00,98132.522,423007.1552,206582.7416,51210.32
2016/01/05 22:00,75441.9736,324952.6548,158697.7088,39356.453
2016/01/05 23:00,60426.7798,261276.7911,127738.4247,31556.8499
2016/01/06 00:00,66283.826,273092.722,122804.7399,34095.348
2016/01/06 01:00,68729.084,286901.3898,129762.8014,35542.1968
2016/01/06 02:00,70652.3537,292866.074,132012.376,36437.2769
2016/01/06 03:00,77066.464,327142.7361,149265.394,40113.4514
2016/01/06 04:00,85884.0069,381285.6074,177087.8072,45557.3024
2016/01/06 05:00,108730.7194,481072.0294,221898.807,57683.029
2016/01/06 06:00,123593.3,551279.4763,254901.865,65823.8674
2016/01/06 07:00,118633.6449,529501.4205,244786.384,63210.9215
2016/01/06 08:00,124289.0475,551073.212,255180.806,65947.8344
2016/01/06 09:00,118152.6254,509746.7395,232931.169,62011.0395
2016/01/06 10:00,113189.9849,482265.0601,219078.947,59106.6189
2016/01/06 11:00,107590.754,455605.1292,206267.851,56051.38
2016/01/06 12:00,105242.1228,445687.5699,201804.415,54826.155
2016/01/06 13:00,110071.191,466487.4352,211943.9944,57305.749
2016/01/06 14:00,112273.9304,476677.2704,216910.437,58481.7772
2016/01/06 15:00,117672.6617,503884.1142,230585.425,61473.2582
2016/01/06 16:00,122952.8093,528245.6947,242197.885,64308.09
2016/01/06 17:00,124677.0075,542194.4192,249807.2806,65544.25
2016/01/06 18:00,125823.2194,553122.3927,256135.2904,66432.735
2016/01/06 19:00,123346.9644,548544.8189,255152.531,65448.402
2016/01/06 20:00,116945.9669,520841.0045,242144.168,62111.0615
2016/01/06 21:00,105408.3964,467278.4745,216761.2784,55879.0136
2016/01/06 22:00,83492.1457,361656.4206,165961.6964,43846.3205
2016/01/06 23:00,69598.7076,294508.93,133981.9821,36188.5685
2016/01/07 00:00,70458.6226,317214.7172,140228.4756,37752.2395
2016/01/07 01:00,72988.3371,328577.3828,147162.4845,38940.6137
2016/01/07 02:00,75125.3901,338184.3917,150373.5718,40174.4306
2016/01/07 03:00,81742.81,368337.9711,167539.4951,43431.7647
2016/01/07 04:00,91024.6834,409795.2461,194573.0926,47617.3585
2016/01/07 05:00,115842.07,519649.3161,246093.061,60438.913
2016/01/07 06:00,131776.6799,590711.8064,281928.094,68533.699
2016/01/07 07:00,126492.2343,566763.3014,270822.456,65731.7074
2016/01/07 08:00,132044.8775,593441.3127,281602.498,68980.7016
2016/01/07 09:00,125811.4965,564810.4772,261163.127,66241.849
2016/01/07 10:00,120693.9306,541716.9436,247413.861,63795.72
2016/01/07 11:00,114819.1151,515129.847,233905.486,60781.652
2016/01/07 12:00,112365.8835,504183.3742,228945.5784,59487.0874
2016/01/07 13:00,117142.7287,526687.8078,239163.994,62133.9945
2016/01/07 14:00,119321.2416,536769.44,244290.936,63273.848
2016/01/07 15:00,124809.3969,562189.6138,257892.108,66090.962
2016/01/07 16:00,130359.4536,587358.7246,270198.262,68981.528
2016/01/07 17:00,132106.1624,595120.0134,277076.628,69608.8746
2016/01/07 18:00,133236.9485,600441.2991,282373.754,69985.8544
2016/01/07 19:00,130596.391,588409.9311,279831.213,68316.6564
2016/01/07 20:00,123928.951,557885.7397,265736.35,64738.95
2016/01/07 21:00,111765.3261,502999.4354,238626.658,58453.2886
2016/01/07 22:00,88741.6785,399049.9012,185044.105,46738.1492
2016/01/07 23:00,73955.7637,332853.2159,150975.0525,39278.722
2016/01/08 00:00,78199.2373,327679.9099,149511.155,42498.4616
2016/01/08 01:00,80903.5743,339701.6438,155840.8184,43920.1523
2016/01/08 02:00,83280.0046,349258.3867,159739.7223,45237.5831
2016/01/08 03:00,90111.3245,380244.7324,175822.978,48842.2533
2016/01/08 04:00,99787.0028,423747.9756,199654.324,53869.7074
2016/01/08 05:00,127972.1757,539073.216,252828.318,69133.6085
2016/01/08 06:00,145546.327,613135.8091,288399.058,78592.102
2016/01/08 07:00,139885.4296,588829.9255,277000.012,75530.336
2016/01/08 08:00,145291.8495,614631.8949,289020.717,78464.817
2016/01/08 09:00,139416.1784,585545.0369,271841.708,75486.446
2016/01/08 10:00,134000.9995,561305.37,259129.733,72636.1495
2016/01/08 11:00,127713.2937,533929.4666,245760.94,69267.0366
2016/01/08 12:00,124879.1522,522204.784,240385.128,67727.596
2016/01/08 13:00,129713.1174,544731.8627,251230.936,70329.694
2016/01/08 14:00,132036.5363,555243.7572,256375.581,71574.44
2016/01/08 15:00,137561.2745,580862.0972,269445.552,74505.582
2016/01/08 16:00,143494.082,606648.4681,281881.2926,77692.2186
2016/01/08 17:00,145238.622,615123.7465,287277.215,78552.0525
2016/01/08 18:00,146060.0064,620311.6527,291146.093,78914.6015
2016/01/08 19:00,142947.1026,608104.8922,286813.001,77152.474
2016/01/08 20:00,135876.2511,577161.8359,272227.595,73331.7455
2016/01/08 21:00,122702.576,520464.8233,244948.2774,66250.975
2016/01/08 22:00,97923.6131,412932.7242,192291.619,52982.6863
2016/01/08 23:00,81781.4899,344026.4496,158721.3464,44341.0142
2016/01/09 00:00,81145.6975,329667.9793,156738.3165,42171.5906
2016/01/09 01:00,84263.0111,343355.1482,163885.4764,43792.5235
2016/01/09 02:00,87071.7357,354215.4639,168644.1445,45255.0834
2016/01/09 03:00,93456.4717,382973.9789,183620.5474,48597.6767
2016/01/09 04:00,103819.7188,428183.2871,207846.5536,53946.6114
2016/01/09 05:00,133990.0014,547019.0175,265004.63,69473.0511
2016/01/09 06:00,154817.0145,632626.0046,307318.276,80264.518
2016/01/09 07:00,147862.9436,603131.1459,293092.104,76621.87
2016/01/09 08:00,152186.6993,624634.1434,303242.441,78990.7365
2016/01/09 09:00,146331.1633,595971.1107,287093.558,75914.6726
2016/01/09 10:00,141677.2507,575689.8343,276347.315,73504.699
2016/01/09 11:00,135327.3512,548708.6193,262918.57,70195.6645
2016/01/09 12:00,131855.6864,534743.6125,256238.864,68396.3834
2016/01/09 13:00,135812.023,553296.5208,265200.2494,70521.67
2016/01/09 14:00,138691.7074,566435.9145,271766.53,72046.595
2016/01/09 15:00,144143.3544,591558.3251,284539.357,74932.9535
2016/01/09 16:00,150348.4748,617684.7013,297294.779,78168.42
2016/01/09 17:00,151675.6951,623803.5873,301139.24,78836.0064
2016/01/09 18:00,152664.0211,630076.2297,305281.274,79363.682
2016/01/09 19:00,149093.2241,615827.3068,299196.035,77484.206
2016/01/09 20:00,141735.7824,584556.0349,284165.693,73624.6532
2016/01/09 21:00,127988.0175,526810.5241,255729.136,66468.3275
2016/01/09 22:00,102967.9002,421405.4317,203255.559,53458.0755
2016/01/09 23:00,85640.2142,350009.4126,167884.5175,44496.4362
2016/01/10 00:00,77892.3917,334116.4072,159043.0774,40039.2282
2016/01/10 01:00,79858.0848,344269.2368,164733.3956,41065.1974
2016/01/10 02:00,84767.4603,364988.1224,174179.2115,43627.1559
2016/01/10 03:00,90065.6874,389901.0609,187231.8876,46355.3138
2016/01/10 04:00,100399.7278,438227.2526,212792.5716,51610.313
2016/01/10 05:00,133744.3613,582000.6493,282371.091,68615.383
2016/01/10 06:00,149884.6855,650734.7294,315662.265,76778.295
2016/01/10 07:00,140447.0914,609655.5881,296028.969,71886.548
2016/01/10 08:00,145423.8759,632158.1168,306319.531,74623.6605
2016/01/10 09:00,139927.3951,605224.8145,291685.616,71784.7545
2016/01/10 10:00,133274.575,574097.6903,275571.616,68336.838
2016/01/10 11:00,130762.0857,563293.6605,270205.66,67082.398
2016/01/10 12:00,126386.991,544777.8168,261495.664,64836.025
2016/01/10 13:00,129673.6792,558985.8283,267755.581,66615.516
2016/01/10 14:00,128016.3761,550938.0129,263654.702,65717.7481
2016/01/10 15:00,134204.3161,580479.0237,278865.1819,68987.4365
2016/01/10 16:00,141156.0295,611492.8328,294156.721,72583.9656
2016/01/10 17:00,146129.3251,634669.2443,306163.988,75150.3435
2016/01/10 18:00,147545.0344,643049.174,311345.64,75893.923
2016/01/10 19:00,144717.9888,631647.2317,306440.264,74420.2809
2016/01/10 20:00,137515.6075,600503.5461,291754.0664,70673.419
2016/01/10 21:00,124727.2086,542946.7831,263092.572,64062.9186
2016/01/10 22:00,100568.6776,436682.8003,211000.806,51654.0218
2016/01/10 23:00,83898.7449,362654.2352,174074.7341,43140.9227
2016/01/11 00:00,77218.8801,355623.0602,168684.2256,40469.787
2016/01/11 01:00,79463.6331,365635.1674,175227.7816,41365.7764
2016/01/11 02:00,79587.5564,366311.016,174177.388,41605.0644
2016/01/11 03:00,84869.4128,390252.6153,186594.5586,44158.9234
2016/01/11 04:00,98220.0957,450891.0607,218033.219,50636.3034
2016/01/11 05:00,132027.9129,605671.8585,293807.454,67832.226
2016/01/11 06:00,145544.943,667839.8791,323868.703,74825.276
2016/01/11 07:00,134463.9048,616559.4778,298727.766,69040.215
2016/01/11 08:00,139990.204,643173.3329,309976.934,72396.823
2016/01/11 09:00,134614.3614,618670.9674,296615.063,69834.8096
2016/01/11 10:00,129107.5425,593507.7436,283492.185,67129.028
2016/01/11 11:00,125206.0722,575638.6752,274510.519,65167.109
2016/01/11 12:00,121759.5502,559765.7447,266926.584,63364.5481
2016/01/11 13:00,125339.913,576693.0083,274908.765,65363.417
2016/01/11 14:00,128570.0007,591629.1477,282300.388,67040.992
2016/01/11 15:00,134249.1672,618003.3536,295338.7255,70019.2644
2016/01/11 16:00,139151.6592,640432.709,307365.642,72396.1605
2016/01/11 17:00,143624.5269,660767.0151,317826.808,74580.9025
2016/01/11 18:00,145317.4656,668414.628,322419.579,75322.203
2016/01/11 19:00,142696.5719,656056.9261,317567.222,73760.95
2016/01/11 20:00,136580.171,627633.7703,304391.371,70455.639
2016/01/11 21:00,122732.6385,563892.3934,272751.282,63363.8774
2016/01/11 22:00,98891.6634,454498.8676,219455.62,51133.8277
2016/01/11 23:00,82778.2214,380904.3752,181851.646,43161.7294
2016/01/12 00:00,77943.7122,367792.7474,174732.4936,40630.7398
2016/01/12 01:00,80197.765,378788.8666,180955.2105,41683.7858
2016/01/12 02:00,82658.391,390258.4492,186026.612,43014.0616
2016/01/12 03:00,89934.4487,424937.2738,203833.2854,46690.0704
2016/01/12 04:00,99968.0088,473585.8677,230127.918,51476.0286
2016/01/12 05:00,128243.6625,608111.2706,294750.463,65837.9526
2016/01/12 06:00,146141.4208,693324.1094,336622.617,74911.717
2016/01/12 07:00,139595.433,662472.9759,322026.661,71477.363
2016/01/12 08:00,145726.7928,690446.6386,334576.36,75007.544
2016/01/12 09:00,139887.085,662166.2596,318633.156,72207.024
2016/01/12 10:00,134838.009,637912.4446,305883.352,69722.172
2016/01/12 11:00,128426.1287,607408.9026,290454.585,66463.891
2016/01/12 12:00,125278.3577,592617.4154,283754.436,64803.745
2016/01/12 13:00,130209.9922,615465.7176,294405.197,67525.4799
2016/01/12 14:00,132076.3519,624262.7867,298735.802,68504.368
2016/01/12 15:00,137408.6261,649520.6701,311730.193,71258.4456
2016/01/12 16:00,142925.9087,675803.1219,325131.562,74052.804
2016/01/12 17:00,145845.3707,689931.8354,332588.844,75454.127
2016/01/12 18:00,147481.4921,698087.9162,338011.277,76161.7106
2016/01/12 19:00,144281.3401,683398.738,331922.506,74353.9636
2016/01/12 20:00,135693.4933,643103.0092,312857.521,69795.591
2016/01/12 21:00,123080.657,583154.8385,283079.055,63362.1614
2016/01/12 22:00,98174.7218,464757.4627,224260.002,50667.6082
2016/01/12 23:00,81848.5082,386845.1531,185336.3521,42453.3031
2016/01/13 00:00,80271.4154,381516.1376,177010.4615,43800.2893
2016/01/13 01:00,82946.3706,395316.1772,184028.735,45284.98
2016/01/13 02:00,85438.7959,406619.5438,188939.6995,46634.0675
2016/01/13 03:00,92212.141,440562.5498,206151.7541,50345.2032
2016/01/13 04:00,101671.8911,490934.8646,232414.6664,55637.108
2016/01/13 05:00,130561.3273,632217.1054,298187.485,71588.766
2016/01/13 06:00,148395.7732,720297.3584,340259.162,81446.199
