reference,https://zenodo.org/records/3949553,,,
comment,Regional 2016 demand,,,
nodes,CON,LEI,MUN,ULS
techs,demand_electricity,demand_electricity,demand_electricity,demand_electricity
parameters,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals
timesteps,,,,
2016/01/01 00:00,418995.3239,1995833.394,947076.4257,250704.8566
2016/01/01 01:00,388266.1549,1852763.658,877791.8873,233888.2998
2016/01/01 02:00,354196.8588,1694142.864,800976.4209,215243.8564
2016/01/01 03:00,328544.6829,1574710.737,743138.8932,201205.6872
2016/01/01 04:00,310374.3917,1490112.98,702170.6444,191261.9841
2016/01/01 05:00,298349.9343,1434129.17,675059.3033,184681.5923
2016/01/01 06:00,295143.4123,1419200.154,667829.6124,182926.8212
2016/01/01 07:00,296479.4631,1425420.577,670841.9836,183657.9758
2016/01/01 08:00,290600.8395,1398050.715,657587.5502,180440.8954
2016/01/01 09:00,300754.8258,1445325.932,680481.5716,185997.6707
2016/01/01 10:00,339233.0895,1624474.123,767237.8631,207054.9244
2016/01/01 11:00,380383.455,1816063.161,860018.897,229574.4874
2016/01/01 12:00,412983.0951,1967841.489,933520.7551,247414.6607
2016/01/01 13:00,429817.3355,2046218.823,971476.6327,256627.2092
2016/01/01 14:00,423805.1068,2018226.918,957920.9621,253337.0133
2016/01/01 15:00,419396.1391,1997699.521,947980.137,250924.203
2016/01/01 16:00,435963.1693,2074832.77,985333.5403,259990.5205
2016/01/01 17:00,487000.3109,2312452.94,1100406.121,287920.6279
2016/01/01 18:00,492210.9091,2336712.591,1112154.369,290772.131
2016/01/01 19:00,475777.484,2260201.384,1075102.203,281778.9289
2016/01/01 20:00,455870.3267,2167517.077,1030217.872,270884.7247
2016/01/01 21:00,438635.271,2087273.616,991358.2828,261452.8298
2016/01/01 22:00,413250.3053,1969085.574,934123.2294,247560.8916
2016/01/01 23:00,415387.9866,1979038.251,938943.0233,248730.739
2016/01/02 00:00,421533.8204,2007652.198,952799.931,252094.0504
2016/01/02 01:00,382253.9261,1824771.753,864236.2168,230598.1039
2016/01/02 02:00,347783.8148,1664284.832,786517.039,211734.3141
2016/01/02 03:00,324536.5305,1556049.467,734101.7795,199012.2233
2016/01/02 04:00,309305.551,1485136.641,699760.7475,190677.0604
2016/01/02 05:00,299953.1953,1441593.678,678674.1488,185558.9779
2016/01/02 06:00,300487.6156,1444081.847,679879.0973,185851.4397
2016/01/02 07:00,307835.8951,1478294.175,696447.1391,189872.7903
2016/01/02 08:00,313180.0984,1503175.869,708496.624,192797.4089
2016/01/02 09:00,333621.6761,1598348.345,754585.9039,203984.0749
2016/01/02 10:00,376642.5127,1798645.975,851584.2576,227527.2544
2016/01/02 11:00,412448.6748,1965353.32,932315.8066,247122.1988
2016/01/02 12:00,437833.6405,2083541.362,989550.8601,261014.137
2016/01/02 13:00,447586.8115,2128950.452,1011541.17,266351.5659
2016/01/02 14:00,441574.5828,2100958.548,997985.4995,263061.37
2016/01/02 15:00,441574.5828,2100958.548,997985.4995,263061.37
2016/01/02 16:00,468295.5993,2225367.014,1058232.924,277684.4629
2016/01/02 17:00,529219.517,2509018.316,1195597.052,311025.1146
2016/01/02 18:00,535498.9559,2538254.305,1209755.197,314461.5414
2016/01/02 19:00,511717.2512,2427530.771,1156134.989,301446.9888
2016/01/02 20:00,483526.5788,2296279.839,1092573.956,286019.6258
2016/01/02 21:00,454400.6707,2160674.611,1026904.263,270080.4546
2016/01/02 22:00,426610.8136,2031289.807,964246.9417,254872.438
2016/01/02 23:00,433023.8575,2061147.839,978706.3236,258381.9803
2016/01/03 00:00,420464.9798,2002675.86,950390.034,251509.1267
2016/01/03 01:00,380917.8753,1818551.33,861223.8455,229866.9493
2016/01/03 02:00,346714.9742,1659308.493,784107.142,211149.3904
2016/01/03 03:00,324002.1101,1553561.297,732896.831,198719.7615
2016/01/03 04:00,308771.1307,1482648.472,698555.799,190384.5985
2016/01/03 05:00,297949.119,1432263.043,674155.592,184462.2459
2016/01/03 06:00,296479.4631,1425420.577,670841.9836,183657.9758
