reference,Diversity of options to eliminate fossil fuels and reach carbon neutrality across the entire European energy system - ScienceDirect,,,
comment,Regional 2016 demand for electrifying transport,,,
nodes,CON,LEI,MUN,ULS
techs,demand_electrified_transport,demand_electrified_transport,demand_electrified_transport,demand_electrified_transport
parameters,sink_use_equals,sink_use_equals,sink_use_equals,sink_use_equals
timesteps,,,,
2016/01/01 00:00,246411.4679,1148116.921,556474.3578,135069.1631
2016/01/01 01:00,209017.432,973885.0736,472026.8997,114571.817
2016/01/01 02:00,203009.7742,945893.3015,458459.7245,111278.7506
2016/01/01 03:00,204595.3631,953281.113,462040.4815,112147.883
2016/01/01 04:00,201175.6974,937347.6986,454317.8041,110273.411
2016/01/01 05:00,204014.713,950575.6618,460729.1915,111829.6026
2016/01/01 06:00,206169.1193,960613.7917,465594.5164,113010.5292
2016/01/01 07:00,193396.5073,901101.7404,436749.9537,106009.2885
2016/01/01 08:00,209370.7242,975531.1851,472824.7443,114765.4723
2016/01/01 09:00,234524.6221,1092731.963,529630.1327,128553.4504
2016/01/01 10:00,263032.2602,1225558.986,594009.3184,144179.7639
2016/01/01 11:00,310220.435,1445425.141,700575.0131,170045.7162
2016/01/01 12:00,339748.2256,1583005.41,767258.0227,186231.2208
2016/01/01 13:00,385384.6193,1795641.276,870319.3092,211246.5724
2016/01/01 14:00,431484.1808,2010435.202,974426.5738,236515.807
2016/01/01 15:00,429962.8268,2003346.684,970990.8794,235681.8847
2016/01/01 16:00,421683.2803,1964769.39,952293.0674,231143.4944
2016/01/01 17:00,429871.5456,2002921.372,970784.7378,235631.8494
2016/01/01 18:00,405056.5716,1887299.759,914744.7457,222029.6506
2016/01/01 19:00,368793.4089,1718337.043,832851.1538,202152.1868
2016/01/01 20:00,321462.3958,1497805.355,725962.8855,176207.9384
2016/01/01 21:00,298762.1039,1392036.782,674698.5086,163764.8916
2016/01/01 22:00,311198.3276,1449981.484,702783.4011,170581.7429
2016/01/01 23:00,322445.3595,1502385.326,728182.7258,176746.7449
2016/01/02 00:00,299601.3842,1395947.282,676593.8666,164224.9387
2016/01/02 01:00,266495.031,1241693.242,601829.3404,146077.8636
2016/01/02 02:00,237052.6053,1104510.718,535339.1114,129939.1513
2016/01/02 03:00,227600.771,1060471.328,513993.906,124758.1775
2016/01/02 04:00,202051.3211,941427.5348,456295.2371,110753.3796
2016/01/02 05:00,191841.3455,893855.6992,433237.9106,105156.8346
2016/01/02 06:00,173887.678,810203.3043,392692.9,95315.62527
2016/01/02 07:00,174552.0026,813298.6241,394193.1532,95679.77133
2016/01/02 08:00,202710.5745,944499.2262,457784.038,111114.7459
2016/01/02 09:00,244667.8272,1139992.691,552536.6703,134113.3955
2016/01/02 10:00,290518.0557,1353624.888,656080.8627,159245.9595
2016/01/02 11:00,326211.5559,1519933.347,736687.978,178811.1658
2016/01/02 12:00,355776.5351,1657686.891,803454.9713,195017.0552
2016/01/02 13:00,374773.1752,1746198.859,846355.3412,205429.9646
2016/01/02 14:00,390918.1219,1821423.793,882815.693,214279.733
2016/01/02 15:00,382082.436,1780255.253,862861.9438,209436.4978
2016/01/02 16:00,426345.3851,1986491.762,962821.5618,233699.0029
2016/01/02 17:00,446185.5315,2078933.92,1007626.833,244574.2759
2016/01/02 18:00,460551.3392,2145869.225,1040069.331,252448.8185
2016/01/02 19:00,436682.9855,2034658.245,986167.1048,239365.5047
2016/01/02 20:00,385098.0977,1794306.272,869672.2534,211089.5171
2016/01/02 21:00,331427.2645,1544235.152,748466.6834,181670.1293
2016/01/02 22:00,323270.2715,1506228.878,730045.6356,177198.9161
2016/01/02 23:00,285969.2072,1332430.218,645808.1367,156752.5319
2016/01/03 00:00,255019.7959,1188226.122,575914.6615,139787.7733
2016/01/03 01:00,224429.5931,1045695.705,506832.392,123019.9129
2016/01/03 02:00,203001.3222,945853.9208,458440.6373,111274.1177
2016/01/03 03:00,183612.5108,855514.6901,414654.6217,100646.2417
2016/01/03 04:00,186830.1745,870506.9068,421921.1152,102409.9873
2016/01/03 05:00,192127.0219,895186.7655,433883.0577,105313.4267
2016/01/03 06:00,185785.5114,865639.4574,419561.9385,101837.3607
2016/01/03 07:00,178690.9306,832583.3326,403540.1505,97948.50319
2016/01/03 08:00,196860.1232,917239.9343,444571.8845,107907.8515
2016/01/03 09:00,226813.8929,1056804.988,512216.8886,124326.8544
2016/01/03 10:00,271782.5813,1266329.782,613770.287,148976.2068
2016/01/03 11:00,311748.5506,1452545.164,704025.9772,170883.3448
2016/01/03 12:00,347028.7496,1616927.909,783699.7288,190222.0022
2016/01/03 13:00,374041.2349,1742788.494,844702.3905,205028.7553
2016/01/03 14:00,369330.1087,1720837.715,834063.1904,202446.376
2016/01/03 15:00,378881.6762,1765341.797,855633.6246,207682.018
2016/01/03 16:00,383204.0119,1785481.066,865394.814,210051.2838
2016/01/03 17:00,396550.5124,1847667.064,895535.3969,217367.0986
2016/01/03 18:00,396797.3098,1848816.979,896092.7429,217502.3793
2016/01/03 19:00,409198.8804,1906600.22,924099.3779,224300.2357
2016/01/03 20:00,383007.9263,1784567.435,864951.9912,209943.8005
2016/01/03 21:00,338930.0752,1579193.362,765410.3827,185782.756
2016/01/03 22:00,311156.9129,1449788.518,702689.8738,170559.0417
2016/01/03 23:00,306149.9679,1426459.416,691382.622,167814.5108
2016/01/04 00:00,272087.6973,1267751.424,614459.3346,149143.4545
2016/01/04 01:00,246048.0333,1146423.553,555653.6086,134869.9483
2016/01/04 02:00,209762.8955,977358.4477,473710.3899,114980.4389
2016/01/04 03:00,181922.9626,847642.4964,410839.0923,99720.12472
2016/01/04 04:00,168624.6384,785680.9682,380807.3064,92430.71752
2016/01/04 05:00,167477.7065,780337.0128,378217.1746,91802.03278
2016/01/04 06:00,184702.8145,860594.795,417116.8693,101243.886
2016/01/04 07:00,267562.5144,1246667.019,604240.0526,146662.9991
2016/01/04 08:00,388280.2631,1809133.09,876858.5808,212833.8045
2016/01/04 09:00,489885.5797,2282547.677,1106315.244,268528.2297
2016/01/04 10:00,509731.6425,2375017.401,1151133.877,279406.7457
2016/01/04 11:00,474202.9557,2209476.865,1070898.962,259931.881
2016/01/04 12:00,441573.2934,2057443.894,997210.9534,242046.1015
2016/01/04 13:00,418701.4265,1950875.894,945559.1065,229509.0068
2016/01/04 14:00,379432.7444,1767909.416,856878.1095,207984.0832
2016/01/04 15:00,344037.5987,1602991.094,776944.772,188582.4183
