techs,parameters,values
oil,cost_flow_in,0.0355
oil,cost_flow_cap,20.148
coal,cost_flow_in,0.0849
coal,cost_flow_cap,10.4
ccgt,cost_flow_in,0.1268
ccgt,cost_flow_cap,25.404
waste,cost_flow_in,0.1268
waste,cost_flow_cap,25.404
bioenergy_lc,cost_flow_in,0.1268
bioenergy_lc,cost_flow_cap,25.404
bioenergy,cost_flow_in,0.1268
bioenergy,cost_flow_cap,25.404
bioenergy_hc,cost_flow_in,0.1268
bioenergy_hc,cost_flow_cap,25.404
nuclear,cost_flow_cap,28.032
nuclear,cost_flow_in,0.017
nuclear,cost_flow_out,0.03
onshore_wind,cost_flow_out,0.0083
onshore_wind,cost_flow_cap,72.4277
offshore_wind,cost_flow_out,0.0083
offshore_wind,cost_flow_cap,101.23
pv,cost_flow_cap,197.685
pv,cost_flow_out,0.0123
hydropower,cost_flow_cap,81.468
hydropower,cost_flow_out,0.0019
tidal,cost_flow_cap,82
battery_li,cost_storage_cap,64.5
battery_phs,cost_storage_cap,13.578
battery_phs,cost_flow_out,0.0019
