techs,parameters,values
oil,cost_flow_in,0.0355
oil,cost_flow_out,0.771
oil,cost_flow_cap,20.148
coal,cost_flow_in,0.0849
coal,cost_flow_out,0.886
coal,cost_flow_cap,10.4
ccgt,cost_flow_in,0.1268
ccgt,cost_flow_out,0.366
ccgt,cost_flow_cap,25.404
waste,cost_flow_out,0
waste,cost_flow_cap,0
bioenergy,cost_flow_cap,
nuclear,cost_flow_cap,28.032
nuclear,cost_flow_in,0.017
nuclear,cost_flow_out,0.03
hydropower,cost_flow_cap,81.468
hydropower,cost_flow_out,0.0019
tidal,cost_flow_cap,82
battery_li,cost_storage_cap,90
battery_phs,cost_storage_cap,81.468
battery_phs,cost_flow_out,0
