techs,parameters,values
oil,cost_flow_in,0.039768
oil,cost_flow_out,0.024656
coal,cost_flow_in,0.015475
coal,cost_flow_out,0.024656
ccgt,cost_flow_in,0.004639
ccgt,cost_flow_out,0.031195
waste,cost_flow_in,-0.002818
waste,cost_flow_out,0.03543
bioenergy,cost_flow_in,0.0343245
bioenergy,cost_flow_out,0.0177
nuclear,cost_flow_in,0.000817
nuclear,cost_flow_cap,6383
hydropower,cost_flow_cap,3688.598
hydropower,cost_om_annual,82.997
tidal,cost_flow_cap,2665.571
tidal,cost_om_annual,23.52
battery_phs,cost_storage_cap,3218
battery_phs,cost_om_annnual,45
battery_li,cost_flow_out,0.0022
battery_li,cost_storage_cap,433
battery_li,cost_om_annual,7.22
