techs,parameters,values
oil,cost_flow_in,0.082176
coal,cost_flow_in,0.01386
ccgt,cost_flow_in,0.057238
waste,cost_flow_in,-0.0373
bioenergy_lc,cost_flow_in,0.013759
bioenergy,cost_flow_in,0.039699
bioenergy_hc,cost_flow_in,0.08932
nuclear,cost_flow_in,0.019501
nuclear,cost_flow_cap,8730
hydropower,cost_flow_cap,6060
hydropower,cost_om_annual,151
tidal,cost_flow_cap,2890
tidal,cost_om_annual,145
battery_phs,cost_storage_cap,350.44
battery_phs,cost_om_annnual,1.91
battery_li,cost_storage_cap,250
battery_li,cost_om_annual,5
