reference,https://doi.org/10.1016/j.joule.2020.08.002,,
comment,"Average of FR, CH, AT, SI in Lombardi’s paper",GR in Lombardi’s paper,
nodes,MUN,ULS,LEI
techs,export_electricity,export_electricity,
timesteps,,,
01/01/2016 00:00,-0.0461384,-0.0461384,-0.0461384
01/01/2016 01:00,-0.048247584,-0.048247584,-0.048247584
01/01/2016 02:00,-0.04571468,-0.04571468,-0.04571468
01/01/2016 03:00,-0.034754456,-0.034754456,-0.034754456
01/01/2016 04:00,-0.030856232,-0.030856232,-0.030856232
01/01/2016 05:00,-0.029839304,-0.029839304,-0.029839304
01/01/2016 06:00,-0.029782808,-0.029782808,-0.029782808
01/01/2016 07:00,-0.02970748,-0.02970748,-0.02970748
01/01/2016 08:00,-0.030470176,-0.030470176,-0.030470176
01/01/2016 09:00,-0.031656592,-0.031656592,-0.031656592
01/01/2016 10:00,-0.036891888,-0.036891888,-0.036891888
01/01/2016 11:00,-0.043002872,-0.043002872,-0.043002872
01/01/2016 12:00,-0.04952816,-0.04952816,-0.04952816
01/01/2016 13:00,-0.0461384,-0.0461384,-0.0461384
01/01/2016 14:00,-0.045272128,-0.045272128,-0.045272128
01/01/2016 15:00,-0.044923736,-0.044923736,-0.044923736
01/01/2016 16:00,-0.040686536,-0.040686536,-0.040686536
01/01/2016 17:00,-0.05079932,-0.05079932,-0.05079932
01/01/2016 18:00,-0.054697544,-0.054697544,-0.054697544
01/01/2016 19:00,-0.043473672,-0.043473672,-0.043473672
01/01/2016 20:00,-0.033210232,-0.033210232,-0.033210232
01/01/2016 21:00,-0.030856232,-0.030856232,-0.030856232
01/01/2016 22:00,-0.025498528,-0.025498528,-0.025498528
01/01/2016 23:00,-0.0131824,-0.0131824,-0.0131824
02/01/2016 00:00,-0.00903936,-0.00903936,-0.00903936
02/01/2016 01:00,0.0009416,0.0009416,0.0009416
02/01/2016 02:00,0.004133624,0.004133624,0.004133624
02/01/2016 03:00,0.004218368,0.004218368,0.004218368
02/01/2016 04:00,0.004218368,0.004218368,0.004218368
02/01/2016 05:00,0.00489632,0.00489632,0.00489632
02/01/2016 06:00,0.004708,0.004708,0.004708
02/01/2016 07:00,0.004133624,0.004133624,0.004133624
02/01/2016 08:00,-0.014124,-0.014124,-0.014124
02/01/2016 09:00,-0.028248,-0.028248,-0.028248
02/01/2016 10:00,-0.039952088,-0.039952088,-0.039952088
02/01/2016 11:00,-0.0414304,-0.0414304,-0.0414304
02/01/2016 12:00,-0.032956,-0.032956,-0.032956
02/01/2016 13:00,-0.032136808,-0.032136808,-0.032136808
02/01/2016 14:00,-0.0320144,-0.0320144,-0.0320144
02/01/2016 15:00,-0.0320144,-0.0320144,-0.0320144
02/01/2016 16:00,-0.0367224,-0.0367224,-0.0367224
02/01/2016 17:00,-0.044509432,-0.044509432,-0.044509432
02/01/2016 18:00,-0.053501712,-0.053501712,-0.053501712
02/01/2016 19:00,-0.046628032,-0.046628032,-0.046628032
02/01/2016 20:00,-0.044189288,-0.044189288,-0.044189288
