reference,https://zenodo.org/records/3949553,,,
comment,Combined hydro basin and RoR weighted by capacity of each plant CON assumedsame as ULS,,,
nodes,CON,LEI,MUN,ULS
techs,hydropower,hydropower,hydropower,hydropower
parameters,source_use_equals,source_use_equals,source_use_equals,source_use_equals
timesteps,,,,
2016/01/01 00:00,0.881959926,1,1,0.881959926
2016/01/01 01:00,0.88277429,1,1,0.88277429
2016/01/01 02:00,0.8830367,1,1,0.8830367
2016/01/01 03:00,0.883026851,1,1,0.883026851
2016/01/01 04:00,0.883690592,1,1,0.883690592
2016/01/01 05:00,0.884391008,1,1,0.884391008
2016/01/01 06:00,0.88456381,1,1,0.88456381
2016/01/01 07:00,0.884959009,1,1,0.884959009
2016/01/01 08:00,0.884699416,1,1,0.884699416
2016/01/01 09:00,0.885365147,1,1,0.885365147
2016/01/01 10:00,0.886727755,1,1,0.886727755
2016/01/01 11:00,0.889549829,1,1,0.889549829
2016/01/01 12:00,0.896487361,1,1,0.896487361
2016/01/01 13:00,0.909931067,1,1,0.909931067
2016/01/01 14:00,0.91187204,1,1,0.91187204
2016/01/01 15:00,0.919829439,1,1,0.919829439
2016/01/01 16:00,0.934570025,1,1,0.934570025
2016/01/01 17:00,0.952741831,1,1,0.952741831
2016/01/01 18:00,0.974308009,1,1,0.974308009
2016/01/01 19:00,1,1,1,1
2016/01/01 20:00,0.939362452,1,1,0.939362452
2016/01/01 21:00,0.915334776,1,1,0.915334776
2016/01/01 22:00,0.900186674,1,1,0.900186674
2016/01/01 23:00,0.91769684,1,1,0.91769684
2016/01/02 00:00,0.926768729,1,1,0.926768729
2016/01/02 01:00,0.927223166,1,1,0.927223166
2016/01/02 02:00,0.914471618,1,1,0.914471618
2016/01/02 03:00,0.902838881,1,1,0.902838881
2016/01/02 04:00,0.904512123,1,1,0.904512123
2016/01/02 05:00,0.897854186,1,1,0.897854186
2016/01/02 06:00,0.900590232,1,1,0.900590232
2016/01/02 07:00,0.896813226,1,1,0.896813226
2016/01/02 08:00,0.892494296,1,1,0.892494296
2016/01/02 09:00,0.889924556,1,1,0.889924556
2016/01/02 10:00,0.891404057,1,1,0.891404057
2016/01/02 11:00,0.902625386,1,1,0.902625386
2016/01/02 12:00,0.906645585,1,1,0.906645585
2016/01/02 13:00,0.909730675,1,1,0.909730675
2016/01/02 14:00,0.894816261,1,1,0.894816261
2016/01/02 15:00,0.889355418,1,1,0.889355418
2016/01/02 16:00,0.892382514,1,1,0.892382514
2016/01/02 17:00,0.899029773,1,1,0.899029773
2016/01/02 18:00,0.898568457,1,1,0.898568457
2016/01/02 19:00,0.888863178,1,1,0.888863178
2016/01/02 20:00,0.888769839,1,1,0.888769839
2016/01/02 21:00,0.888868687,1,1,0.888868687
2016/01/02 22:00,0.887763125,1,1,0.887763125
2016/01/02 23:00,0.888524252,1,1,0.888524252
2016/01/03 00:00,0.888727935,1,1,0.888727935
2016/01/03 01:00,0.888678496,1,1,0.888678496
2016/01/03 02:00,0.88789366,1,1,0.88789366
2016/01/03 03:00,0.888198903,1,1,0.888198903
2016/01/03 04:00,0.898775132,1,1,0.898775132
2016/01/03 05:00,0.961803288,1,1,0.961803288
2016/01/03 06:00,1,1,1,1
2016/01/03 07:00,1,1,1,1
2016/01/03 08:00,1,1,1,1
2016/01/03 09:00,1,1,1,1
2016/01/03 10:00,1,1,1,1
2016/01/03 11:00,1,1,1,1
2016/01/03 12:00,1,1,1,1
2016/01/03 13:00,0.90527152,1,1,0.90527152
2016/01/03 14:00,0.890459714,1,1,0.890459714
2016/01/03 15:00,0.887717641,1,1,0.887717641
2016/01/03 16:00,0.887403893,1,1,0.887403893
2016/01/03 17:00,0.8874793,1,1,0.8874793
2016/01/03 18:00,0.8874793,1,1,0.8874793
2016/01/03 19:00,0.887432407,1,1,0.887432407
2016/01/03 20:00,0.88682465,1,1,0.88682465
2016/01/03 21:00,0.88771746,1,1,0.88771746
2016/01/03 22:00,0.887415898,1,1,0.887415898
2016/01/03 23:00,0.887419914,1,1,0.887419914
