reference,https://doi.org/10.1016/j.joule.2020.08.002,,
comment,"Average of FR, CH, AT, SI, GR",GR in Lombardi’s study,
nodes,MUN,ULS,LEI
techs,import_electricity,import_electricity,
timesteps,,,
2016/01/01 00:00,0.05075224,0.05075224,0.05075224
2016/01/01 01:00,0.053072342,0.053072342,0.053072342
2016/01/01 02:00,0.050286148,0.050286148,0.050286148
2016/01/01 03:00,0.038229902,0.038229902,0.038229902
2016/01/01 04:00,0.033941855,0.033941855,0.033941855
2016/01/01 05:00,0.032823234,0.032823234,0.032823234
2016/01/01 06:00,0.032761089,0.032761089,0.032761089
2016/01/01 07:00,0.032678228,0.032678228,0.032678228
2016/01/01 08:00,0.033517194,0.033517194,0.033517194
2016/01/01 09:00,0.034822251,0.034822251,0.034822251
2016/01/01 10:00,0.040581077,0.040581077,0.040581077
2016/01/01 11:00,0.047303159,0.047303159,0.047303159
2016/01/01 12:00,0.054480976,0.054480976,0.054480976
2016/01/01 13:00,0.05075224,0.05075224,0.05075224
2016/01/01 14:00,0.049799341,0.049799341,0.049799341
2016/01/01 15:00,0.04941611,0.04941611,0.04941611
2016/01/01 16:00,0.04475519,0.04475519,0.04475519
2016/01/01 17:00,0.055879252,0.055879252,0.055879252
2016/01/01 18:00,0.060167298,0.060167298,0.060167298
2016/01/01 19:00,0.047821039,0.047821039,0.047821039
2016/01/01 20:00,0.036531255,0.036531255,0.036531255
2016/01/01 21:00,0.033941855,0.033941855,0.033941855
2016/01/01 22:00,0.028048381,0.028048381,0.028048381
2016/01/01 23:00,0.01450064,0.01450064,0.01450064
2016/01/02 00:00,0.009943296,0.009943296,0.009943296
2016/01/02 01:00,-0.00103576,-0.00103576,-0.00103576
2016/01/02 02:00,-0.004546986,-0.004546986,-0.004546986
2016/01/02 03:00,-0.004640205,-0.004640205,-0.004640205
2016/01/02 04:00,-0.004640205,-0.004640205,-0.004640205
2016/01/02 05:00,-0.005385952,-0.005385952,-0.005385952
2016/01/02 06:00,-0.0051788,-0.0051788,-0.0051788
2016/01/02 07:00,-0.004546986,-0.004546986,-0.004546986
2016/01/02 08:00,0.0155364,0.0155364,0.0155364
2016/01/02 09:00,0.0310728,0.0310728,0.0310728
2016/01/02 10:00,0.043947297,0.043947297,0.043947297
2016/01/02 11:00,0.04557344,0.04557344,0.04557344
2016/01/02 12:00,0.0362516,0.0362516,0.0362516
2016/01/02 13:00,0.035350489,0.035350489,0.035350489
2016/01/02 14:00,0.03521584,0.03521584,0.03521584
2016/01/02 15:00,0.03521584,0.03521584,0.03521584
2016/01/02 16:00,0.04039464,0.04039464,0.04039464
2016/01/02 17:00,0.048960375,0.048960375,0.048960375
2016/01/02 18:00,0.058851883,0.058851883,0.058851883
2016/01/02 19:00,0.051290835,0.051290835,0.051290835
2016/01/02 20:00,0.048608217,0.048608217,0.048608217
2016/01/02 21:00,0.041026454,0.041026454,0.041026454
2016/01/02 22:00,0.035858011,0.035858011,0.035858011
2016/01/02 23:00,0.034604742,0.034604742,0.034604742
2016/01/03 00:00,0.031611395,0.031611395,0.031611395
2016/01/03 01:00,0.029653809,0.029653809,0.029653809
2016/01/03 02:00,0.027996593,0.027996593,0.027996593
2016/01/03 03:00,0.027105839,0.027105839,0.027105839
2016/01/03 04:00,0.024495724,0.024495724,0.024495724
2016/01/03 05:00,0.02770658,0.02770658,0.02770658
2016/01/03 06:00,0.031611395,0.031611395,0.031611395
2016/01/03 07:00,0.044713759,0.044713759,0.044713759
2016/01/03 08:00,0.045304142,0.045304142,0.045304142
2016/01/03 09:00,0.050037566,0.050037566,0.050037566
2016/01/03 10:00,0.055102432,0.055102432,0.055102432
2016/01/03 11:00,0.055081717,0.055081717,0.055081717
2016/01/03 12:00,0.050306863,0.050306863,0.050306863
2016/01/03 13:00,0.044475534,0.044475534,0.044475534
2016/01/03 14:00,0.043740145,0.043740145,0.043740145
2016/01/03 15:00,0.04198971,0.04198971,0.04198971
2016/01/03 16:00,0.042549021,0.042549021,0.042549021
2016/01/03 17:00,0.051891576,0.051891576,0.051891576
2016/01/03 18:00,0.060364093,0.060364093,0.060364093
2016/01/03 19:00,0.050306863,0.050306863,0.050306863
2016/01/03 20:00,0.04863929,0.04863929,0.04863929
2016/01/03 21:00,0.044206237,0.044206237,0.044206237
2016/01/03 22:00,0.042538663,0.042538663,0.042538663
2016/01/03 23:00,0.039162086,0.039162086,0.039162086
2016/01/04 00:00,0.036075521,0.036075521,0.036075521
2016/01/04 01:00,0.0310728,0.0310728,0.0310728
2016/01/04 02:00,0.029073783,0.029073783,0.029073783
2016/01/04 03:00,0.02770658,0.02770658,0.02770658
2016/01/04 04:00,0.025925073,0.025925073,0.025925073
2016/01/04 05:00,0.025562557,0.025562557,0.025562557
2016/01/04 06:00,0.025479696,0.025479696,0.025479696
2016/01/04 07:00,0.02770658,0.02770658,0.02770658
2016/01/04 08:00,0.030751714,0.030751714,0.030751714
2016/01/04 09:00,0.037059493,0.037059493,0.037059493
2016/01/04 10:00,0.0414304,0.0414304,0.0414304
2016/01/04 11:00,0.044910554,0.044910554,0.044910554
2016/01/04 12:00,0.045563082,0.045563082,0.045563082
2016/01/04 13:00,0.045563082,0.045563082,0.045563082
2016/01/04 14:00,0.047821039,0.047821039,0.047821039
2016/01/04 15:00,0.0466092,0.0466092,0.0466092
2016/01/04 16:00,0.04035321,0.04035321,0.04035321
2016/01/04 17:00,0.05774362,0.05774362,0.05774362
2016/01/04 18:00,0.073414669,0.073414669,0.073414669
2016/01/04 19:00,0.062932778,0.062932778,0.062932778
2016/01/04 20:00,0.050545088,0.050545088,0.050545088
2016/01/04 21:00,0.04246616,0.04246616,0.04246616
2016/01/04 22:00,0.040467143,0.040467143,0.040467143
2016/01/04 23:00,0.03862349,0.03862349,0.03862349
2016/01/05 00:00,0.048359634,0.048359634,0.048359634
2016/01/05 01:00,0.032854307,0.032854307,0.032854307
2016/01/05 02:00,0.031601038,0.031601038,0.031601038
2016/01/05 03:00,0.02900128,0.02900128,0.02900128
2016/01/05 04:00,0.02900128,0.02900128,0.02900128
2016/01/05 05:00,0.028255533,0.028255533,0.028255533
2016/01/05 06:00,0.027292276,0.027292276,0.027292276
2016/01/05 07:00,0.026722608,0.026722608,0.026722608
2016/01/05 08:00,0.026266874,0.026266874,0.026266874
2016/01/05 09:00,0.027903374,0.027903374,0.027903374
2016/01/05 10:00,0.038043465,0.038043465,0.038043465
2016/01/05 11:00,0.045024487,0.045024487,0.045024487
2016/01/05 12:00,0.038830642,0.038830642,0.038830642
2016/01/05 13:00,0.039255304,0.039255304,0.039255304
2016/01/05 14:00,0.043864436,0.043864436,0.043864436
2016/01/05 15:00,0.045024487,0.045024487,0.045024487
2016/01/05 16:00,0.041316466,0.041316466,0.041316466
2016/01/05 17:00,0.05541316,0.05541316,0.05541316
2016/01/05 18:00,0.068743391,0.068743391,0.068743391
2016/01/05 19:00,0.05407703,0.05407703,0.05407703
2016/01/05 20:00,0.046733491,0.046733491,0.046733491
2016/01/05 21:00,0.038571702,0.038571702,0.038571702
2016/01/05 22:00,0.02900128,0.02900128,0.02900128
2016/01/05 23:00,0.01760792,0.01760792,0.01760792
2016/01/06 00:00,-0.00103576,-0.00103576,-0.00103576
2016/01/06 01:00,-0.004153398,-0.004153398,-0.004153398
2016/01/06 02:00,-0.004350192,-0.004350192,-0.004350192
2016/01/06 03:00,-0.004153398,-0.004153398,-0.004153398
2016/01/06 04:00,-0.004288046,-0.004288046,-0.004288046
2016/01/06 05:00,-0.004319119,-0.004319119,-0.004319119
2016/01/06 06:00,-0.004153398,-0.004153398,-0.004153398
2016/01/06 07:00,-0.000103576,-0.000103576,-0.000103576
2016/01/06 08:00,0.02900128,0.02900128,0.02900128
2016/01/06 09:00,0.045438791,0.045438791,0.045438791
2016/01/06 10:00,0.04039464,0.04039464,0.04039464
2016/01/06 11:00,0.042921894,0.042921894,0.042921894
2016/01/06 12:00,0.042756173,0.042756173,0.042756173
2016/01/06 13:00,0.041937922,0.041937922,0.041937922
2016/01/06 14:00,0.042797603,0.042797603,0.042797603
2016/01/06 15:00,0.044195879,0.044195879,0.044195879
2016/01/06 16:00,0.046951001,0.046951001,0.046951001
2016/01/06 17:00,0.053248422,0.053248422,0.053248422
2016/01/06 18:00,0.066444004,0.066444004,0.066444004
2016/01/06 19:00,0.07353896,0.07353896,0.07353896
2016/01/06 20:00,0.054988498,0.054988498,0.054988498
2016/01/06 21:00,0.046029174,0.046029174,0.046029174
2016/01/06 22:00,0.044144091,0.044144091,0.044144091
2016/01/06 23:00,0.03547478,0.03547478,0.03547478
2016/01/07 00:00,0.034853324,0.034853324,0.034853324
2016/01/07 01:00,0.031528534,0.031528534,0.031528534
2016/01/07 02:00,0.013361304,0.013361304,0.013361304
2016/01/07 03:00,-0.00025894,-0.00025894,-0.00025894
2016/01/07 04:00,-0.000269298,-0.000269298,-0.000269298
2016/01/07 05:00,-0.00030037,-0.00030037,-0.00030037
2016/01/07 06:00,-0.00030037,-0.00030037,-0.00030037
2016/01/07 07:00,0,0,0
2016/01/07 08:00,0.032709301,0.032709301,0.032709301
2016/01/07 09:00,0.037857028,0.037857028,0.037857028
2016/01/07 10:00,0.050358651,0.050358651,0.050358651
2016/01/07 11:00,0.04786247,0.04786247,0.04786247
2016/01/07 12:00,0.046505624,0.046505624,0.046505624
2016/01/07 13:00,0.046288114,0.046288114,0.046288114
2016/01/07 14:00,0.039348522,0.039348522,0.039348522
2016/01/07 15:00,0.039348522,0.039348522,0.039348522
2016/01/07 16:00,0.045200566,0.045200566,0.045200566
2016/01/07 17:00,0.050006493,0.050006493,0.050006493
2016/01/07 18:00,0.052316238,0.052316238,0.052316238
2016/01/07 19:00,0.050741882,0.050741882,0.050741882
2016/01/07 20:00,0.048452853,0.048452853,0.048452853
2016/01/07 21:00,0.042269366,0.042269366,0.042269366
2016/01/07 22:00,0.038229902,0.038229902,0.038229902
2016/01/07 23:00,0.034107577,0.034107577,0.034107577
2016/01/08 00:00,0.029860961,0.029860961,0.029860961
2016/01/08 01:00,0.02818303,0.02818303,0.02818303
2016/01/08 02:00,0.025904358,0.025904358,0.025904358
2016/01/08 03:00,0.022279198,0.022279198,0.022279198
2016/01/08 04:00,0.021595596,0.021595596,0.021595596
2016/01/08 05:00,0.027561574,0.027561574,0.027561574
2016/01/08 06:00,0.034252583,0.034252583,0.034252583
2016/01/08 07:00,0.042973682,0.042973682,0.042973682
2016/01/08 08:00,0.0466092,0.0466092,0.0466092
2016/01/08 09:00,0.048224986,0.048224986,0.048224986
2016/01/08 10:00,0.05282376,0.05282376,0.05282376
2016/01/08 11:00,0.056956442,0.056956442,0.056956442
2016/01/08 12:00,0.058541155,0.058541155,0.058541155
2016/01/08 13:00,0.06421712,0.06421712,0.06421712
2016/01/08 14:00,0.06421712,0.06421712,0.06421712
2016/01/08 15:00,0.071974962,0.071974962,0.071974962
2016/01/08 16:00,0.096377468,0.096377468,0.096377468
2016/01/08 17:00,0.131168646,0.131168646,0.131168646
2016/01/08 18:00,0.1760792,0.1760792,0.1760792
2016/01/08 19:00,0.08959324,0.08959324,0.08959324
2016/01/08 20:00,0.057205025,0.057205025,0.057205025
2016/01/08 21:00,0.049685407,0.049685407,0.049685407
2016/01/08 22:00,0.046453836,0.046453836,0.046453836
2016/01/08 23:00,0.043097974,0.043097974,0.043097974
2016/01/09 00:00,0.043988727,0.043988727,0.043988727
2016/01/09 01:00,0.03991819,0.03991819,0.03991819
2016/01/09 02:00,0.03314432,0.03314432,0.03314432
2016/01/09 03:00,0.031839262,0.031839262,0.031839262
2016/01/09 04:00,0.029840246,0.029840246,0.029840246
2016/01/09 05:00,0.029912749,0.029912749,0.029912749
2016/01/09 06:00,0.03521584,0.03521584,0.03521584
2016/01/09 07:00,0.046370975,0.046370975,0.046370975
2016/01/09 08:00,0.050514015,0.050514015,0.050514015
2016/01/09 09:00,0.056107119,0.056107119,0.056107119
2016/01/09 10:00,0.064735,0.064735,0.064735
2016/01/09 11:00,0.071653877,0.071653877,0.071653877
2016/01/09 12:00,0.071881744,0.071881744,0.071881744
2016/01/09 13:00,0.072513558,0.072513558,0.072513558
2016/01/09 14:00,0.064165332,0.064165332,0.064165332
2016/01/09 15:00,0.0569668,0.0569668,0.0569668
2016/01/09 16:00,0.056262483,0.056262483,0.056262483
2016/01/09 17:00,0.064165332,0.064165332,0.064165332
2016/01/09 18:00,0.077682,0.077682,0.077682
2016/01/09 19:00,0.060022292,0.060022292,0.060022292
2016/01/09 20:00,0.05381809,0.05381809,0.05381809
2016/01/09 21:00,0.045904883,0.045904883,0.045904883
2016/01/09 22:00,0.046339902,0.046339902,0.046339902
2016/01/09 23:00,0.041927565,0.041927565,0.041927565
2016/01/10 00:00,0.04557344,0.04557344,0.04557344
2016/01/10 01:00,0.04453768,0.04453768,0.04453768
2016/01/10 02:00,0.043315483,0.043315483,0.043315483
2016/01/10 03:00,0.036748765,0.036748765,0.036748765
2016/01/10 04:00,0.0349569,0.0349569,0.0349569
2016/01/10 05:00,0.036790195,0.036790195,0.036790195
2016/01/10 06:00,0.035599071,0.035599071,0.035599071
2016/01/10 07:00,0.047313517,0.047313517,0.047313517
2016/01/10 08:00,0.052885906,0.052885906,0.052885906
2016/01/10 09:00,0.060084438,0.060084438,0.060084438
2016/01/10 10:00,0.060861258,0.060861258,0.060861258
2016/01/10 11:00,0.051239047,0.051239047,0.051239047
2016/01/10 12:00,0.044175164,0.044175164,0.044175164
2016/01/10 13:00,0.037970962,0.037970962,0.037970962
2016/01/10 14:00,0.03314432,0.03314432,0.03314432
2016/01/10 15:00,0.03055492,0.03055492,0.03055492
2016/01/10 16:00,0.02900128,0.02900128,0.02900128
2016/01/10 17:00,0.03055492,0.03055492,0.03055492
2016/01/10 18:00,0.033713988,0.033713988,0.033713988
2016/01/10 19:00,0.033713988,0.033713988,0.033713988
2016/01/10 20:00,0.03055492,0.03055492,0.03055492
2016/01/10 21:00,0.028245175,0.028245175,0.028245175
2016/01/10 22:00,0.027250846,0.027250846,0.027250846
2016/01/10 23:00,0.0103576,0.0103576,0.0103576
2016/01/11 00:00,0,0,0
2016/01/11 01:00,-0.002154381,-0.002154381,-0.002154381
2016/01/11 02:00,-0.003169426,-0.003169426,-0.003169426
2016/01/11 03:00,-0.003241929,-0.003241929,-0.003241929
2016/01/11 04:00,-0.003241929,-0.003241929,-0.003241929
2016/01/11 05:00,-0.003262644,-0.003262644,-0.003262644
2016/01/11 06:00,-0.005613819,-0.005613819,-0.005613819
2016/01/11 07:00,-0.003645875,-0.003645875,-0.003645875
2016/01/11 08:00,-0.00310728,-0.00310728,-0.00310728
2016/01/11 09:00,0.0103576,0.0103576,0.0103576
2016/01/11 10:00,0.027250846,0.027250846,0.027250846
2016/01/11 11:00,0.037463439,0.037463439,0.037463439
2016/01/11 12:00,0.039959621,0.039959621,0.039959621
2016/01/11 13:00,0.040467143,0.040467143,0.040467143
2016/01/11 14:00,0.044848408,0.044848408,0.044848408
2016/01/11 15:00,0.043377629,0.043377629,0.043377629
2016/01/11 16:00,0.036603758,0.036603758,0.036603758
2016/01/11 17:00,0.048224986,0.048224986,0.048224986
2016/01/11 18:00,0.08182504,0.08182504,0.08182504
2016/01/11 19:00,0.084165858,0.084165858,0.084165858
2016/01/11 20:00,0.067935498,0.067935498,0.067935498
2016/01/11 21:00,0.056241768,0.056241768,0.056241768
2016/01/11 22:00,0.048525356,0.048525356,0.048525356
2016/01/11 23:00,0.043522635,0.043522635,0.043522635
2016/01/12 00:00,0.049022521,0.049022521,0.049022521
2016/01/12 01:00,0.044765547,0.044765547,0.044765547
2016/01/12 02:00,0.042103644,0.042103644,0.042103644
2016/01/12 03:00,0.037370221,0.037370221,0.037370221
2016/01/12 04:00,0.030161331,0.030161331,0.030161331
2016/01/12 05:00,0.02641188,0.02641188,0.02641188
2016/01/12 06:00,0.027426925,0.027426925,0.027426925
2016/01/12 07:00,0.03448045,0.03448045,0.03448045
2016/01/12 08:00,0.032170706,0.032170706,0.032170706
2016/01/12 09:00,0.039286377,0.039286377,0.039286377
2016/01/12 10:00,0.048628932,0.048628932,0.048628932
2016/01/12 11:00,0.051446199,0.051446199,0.051446199
2016/01/12 12:00,0.05208837,0.05208837,0.05208837
2016/01/12 13:00,0.051197617,0.051197617,0.051197617
2016/01/12 14:00,0.048608217,0.048608217,0.048608217
2016/01/12 15:00,0.044920911,0.044920911,0.044920911
2016/01/12 16:00,0.039711038,0.039711038,0.039711038
2016/01/12 17:00,0.057588256,0.057588256,0.057588256
2016/01/12 18:00,0.083192243,0.083192243,0.083192243
2016/01/12 19:00,0.065781118,0.065781118,0.065781118
2016/01/12 20:00,0.051798358,0.051798358,0.051798358
2016/01/12 21:00,0.0466092,0.0466092,0.0466092
2016/01/12 22:00,0.048369992,0.048369992,0.048369992
2016/01/12 23:00,0.039296734,0.039296734,0.039296734
2016/01/13 00:00,0.030544562,0.030544562,0.030544562
2016/01/13 01:00,0.027426925,0.027426925,0.027426925
2016/01/13 02:00,0.024651088,0.024651088,0.024651088
2016/01/13 03:00,0.001677931,0.001677931,0.001677931
2016/01/13 04:00,-0.00310728,-0.00310728,-0.00310728
2016/01/13 05:00,-0.00466092,-0.00466092,-0.00466092
2016/01/13 06:00,-0.0051788,-0.0051788,-0.0051788
2016/01/13 07:00,-0.00310728,-0.00310728,-0.00310728
2016/01/13 08:00,0.027136912,0.027136912,0.027136912
2016/01/13 09:00,0.046961358,0.046961358,0.046961358
2016/01/13 10:00,0.048297489,0.048297489,0.048297489
2016/01/13 11:00,0.046629915,0.046629915,0.046629915
2016/01/13 12:00,0.051031895,0.051031895,0.051031895
2016/01/13 13:00,0.049902917,0.049902917,0.049902917
2016/01/13 14:00,0.046588485,0.046588485,0.046588485
2016/01/13 15:00,0.043429417,0.043429417,0.043429417
2016/01/13 16:00,0.044144091,0.044144091,0.044144091
2016/01/13 17:00,0.051798358,0.051798358,0.051798358
2016/01/13 18:00,0.062062739,0.062062739,0.062062739
2016/01/13 19:00,0.050814386,0.050814386,0.050814386
2016/01/13 20:00,0.050627949,0.050627949,0.050627949
2016/01/13 21:00,0.041896492,0.041896492,0.041896492
2016/01/13 22:00,0.031103873,0.031103873,0.031103873
2016/01/13 23:00,0.027043694,0.027043694,0.027043694
2016/01/14 00:00,0.023511752,0.023511752,0.023511752
2016/01/14 01:00,0.018830117,0.018830117,0.018830117
2016/01/14 02:00,0.01480101,0.01480101,0.01480101
2016/01/14 03:00,0.009052542,0.009052542,0.009052542
2016/01/14 04:00,0.008348226,0.008348226,0.008348226
2016/01/14 05:00,0.016675736,0.016675736,0.016675736
2016/01/14 06:00,0.027426925,0.027426925,0.027426925
2016/01/14 07:00,0.02818303,0.02818303,0.02818303
2016/01/14 08:00,0.039452098,0.039452098,0.039452098
2016/01/14 09:00,0.04220722,0.04220722,0.04220722
2016/01/14 10:00,0.044641256,0.044641256,0.044641256
2016/01/14 11:00,0.044661971,0.044661971,0.044661971
2016/01/14 12:00,0.051798358,0.051798358,0.051798358
2016/01/14 13:00,0.071363864,0.071363864,0.071363864
2016/01/14 14:00,0.086278808,0.086278808,0.086278808
2016/01/14 15:00,0.0673244,0.0673244,0.0673244
2016/01/14 16:00,0.06421712,0.06421712,0.06421712
2016/01/14 17:00,0.063409227,0.063409227,0.063409227
2016/01/14 18:00,0.071539943,0.071539943,0.071539943
2016/01/14 19:00,0.060229444,0.060229444,0.060229444
2016/01/14 20:00,0.05489528,0.05489528,0.05489528
2016/01/14 21:00,0.046080962,0.046080962,0.046080962
2016/01/14 22:00,0.03802275,0.03802275,0.03802275
2016/01/14 23:00,0.02951916,0.02951916,0.02951916
2016/01/15 00:00,0.024112493,0.024112493,0.024112493
2016/01/15 01:00,0.019565506,0.019565506,0.019565506
2016/01/15 02:00,0.016178571,0.016178571,0.016178571
2016/01/15 03:00,0.011206923,0.011206923,0.011206923
2016/01/15 04:00,0.00932184,0.00932184,0.00932184
