reference,,
comment,Import and Export prices for Ireland scaled for 2023,
techs,import_electricity,export_electricity
timesteps,,
2016/01/01 00:00,0.05075224,-0.0461384
2016/01/01 01:00,0.053072342,-0.048247584
2016/01/01 02:00,0.050286148,-0.04571468
2016/01/01 03:00,0.038229902,-0.034754456
2016/01/01 04:00,0.033941855,-0.030856232
2016/01/01 05:00,0.032823234,-0.029839304
2016/01/01 06:00,0.032761089,-0.029782808
2016/01/01 07:00,0.032678228,-0.02970748
2016/01/01 08:00,0.033517194,-0.030470176
2016/01/01 09:00,0.034822251,-0.031656592
2016/01/01 10:00,0.040581077,-0.036891888
2016/01/01 11:00,0.047303159,-0.043002872
2016/01/01 12:00,0.054480976,-0.04952816
2016/01/01 13:00,0.05075224,-0.0461384
2016/01/01 14:00,0.049799341,-0.045272128
2016/01/01 15:00,0.04941611,-0.044923736
2016/01/01 16:00,0.04475519,-0.040686536
2016/01/01 17:00,0.055879252,-0.05079932
2016/01/01 18:00,0.060167298,-0.054697544
2016/01/01 19:00,0.047821039,-0.043473672
2016/01/01 20:00,0.036531255,-0.033210232
2016/01/01 21:00,0.033941855,-0.030856232
2016/01/01 22:00,0.028048381,-0.025498528
2016/01/01 23:00,0.01450064,-0.0131824
2016/01/02 00:00,0.009943296,-0.00903936
2016/01/02 01:00,-0.00103576,0.0009416
2016/01/02 02:00,-0.004546986,0.004133624
2016/01/02 03:00,-0.004640205,0.004218368
2016/01/02 04:00,-0.004640205,0.004218368
2016/01/02 05:00,-0.005385952,0.00489632
2016/01/02 06:00,-0.0051788,0.004708
2016/01/02 07:00,-0.004546986,0.004133624
2016/01/02 08:00,0.0155364,-0.014124
2016/01/02 09:00,0.0310728,-0.028248
2016/01/02 10:00,0.043947297,-0.039952088
2016/01/02 11:00,0.04557344,-0.0414304
2016/01/02 12:00,0.0362516,-0.032956
2016/01/02 13:00,0.035350489,-0.032136808
2016/01/02 14:00,0.03521584,-0.0320144
2016/01/02 15:00,0.03521584,-0.0320144
2016/01/02 16:00,0.04039464,-0.0367224
2016/01/02 17:00,0.048960375,-0.044509432
2016/01/02 18:00,0.058851883,-0.053501712
2016/01/02 19:00,0.051290835,-0.046628032
2016/01/02 20:00,0.048608217,-0.044189288
2016/01/02 21:00,0.041026454,-0.037296776
2016/01/02 22:00,0.035858011,-0.032598192
2016/01/02 23:00,0.034604742,-0.031458856
2016/01/03 00:00,0.031611395,-0.028737632
2016/01/03 01:00,0.029653809,-0.026958008
2016/01/03 02:00,0.027996593,-0.025451448
2016/01/03 03:00,0.027105839,-0.024641672
