reference,https://zenodo.org/records/3949553,,,
comment,capacity factors of offshore wind,,,
nodes,CON,LEI,MUN,ULS
techs,offshore_wind,offshore_wind,offshore_wind,offshore_wind
parameters,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,
2016/01/01 00:00,0.784337487,0.784337487,0.784337487,0.784337487
2016/01/01 01:00,0.819571423,0.819571423,0.819571423,0.819571423
2016/01/01 02:00,0.854728291,0.854728291,0.854728291,0.854728291
2016/01/01 03:00,0.879751656,0.879751656,0.879751656,0.879751656
2016/01/01 04:00,0.895102725,0.895102725,0.895102725,0.895102725
2016/01/01 05:00,0.905297554,0.905297554,0.905297554,0.905297554
2016/01/01 06:00,0.90921727,0.90921727,0.90921727,0.90921727
2016/01/01 07:00,0.906409517,0.906409517,0.906409517,0.906409517
2016/01/01 08:00,0.897690757,0.897690757,0.897690757,0.897690757
2016/01/01 09:00,0.885358205,0.885358205,0.885358205,0.885358205
2016/01/01 10:00,0.866416984,0.866416984,0.866416984,0.866416984
2016/01/01 11:00,0.835416561,0.835416561,0.835416561,0.835416561
2016/01/01 12:00,0.802160263,0.802160263,0.802160263,0.802160263
2016/01/01 13:00,0.781166183,0.781166183,0.781166183,0.781166183
2016/01/01 14:00,0.765081046,0.765081046,0.765081046,0.765081046
2016/01/01 15:00,0.746905694,0.746905694,0.746905694,0.746905694
2016/01/01 16:00,0.73720048,0.73720048,0.73720048,0.73720048
2016/01/01 17:00,0.742293865,0.742293865,0.742293865,0.742293865
2016/01/01 18:00,0.757788273,0.757788273,0.757788273,0.757788273
2016/01/01 19:00,0.766013933,0.766013933,0.766013933,0.766013933
2016/01/01 20:00,0.759208069,0.759208069,0.759208069,0.759208069
2016/01/01 21:00,0.756439413,0.756439413,0.756439413,0.756439413
2016/01/01 22:00,0.776140701,0.776140701,0.776140701,0.776140701
2016/01/01 23:00,0.788638271,0.788638271,0.788638271,0.788638271
2016/01/02 00:00,0.80034863,0.80034863,0.80034863,0.80034863
2016/01/02 01:00,0.811147486,0.811147486,0.811147486,0.811147486
2016/01/02 02:00,0.822882193,0.822882193,0.822882193,0.822882193
2016/01/02 03:00,0.819504062,0.819504062,0.819504062,0.819504062
2016/01/02 04:00,0.804756259,0.804756259,0.804756259,0.804756259
