reference,https://zenodo.org/records/3949553,,,
comment,average capacity factors of onshore wind in each province based on weighted average of counties by land area,,,
nodes,CON,LEI,MUN,ULS
techs,onshore_wind,onshore_wind,onshore_wind,onshore_wind
parameters,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,
2016/01/01 00:00,0.647206997,0.449262499,0.388500215,0.648794296
2016/01/01 01:00,0.614587559,0.417909373,0.444821997,0.642824195
2016/01/01 02:00,0.600619625,0.431846718,0.538083288,0.612209587
2016/01/01 03:00,0.577338035,0.468658011,0.606930667,0.551227379
2016/01/01 04:00,0.546451841,0.511877732,0.653875023,0.511519158
2016/01/01 05:00,0.546028476,0.56124084,0.706378708,0.514596199
2016/01/01 06:00,0.562448026,0.601383214,0.736839119,0.519195827
2016/01/01 07:00,0.588029746,0.642804565,0.769275894,0.546076408
2016/01/01 08:00,0.650883561,0.707773237,0.820296732,0.613071749
2016/01/01 09:00,0.667374212,0.743646908,0.863949434,0.645312981
2016/01/01 10:00,0.705815614,0.787502591,0.910830609,0.678832482
2016/01/01 11:00,0.758822447,0.826673702,0.94008081,0.717601207
2016/01/01 12:00,0.831125519,0.876925127,0.956999823,0.787459776
2016/01/01 13:00,0.947145284,0.936042188,0.9704755,0.866097945
2016/01/01 14:00,0.968019053,0.955564385,0.973885996,0.921773274
2016/01/01 15:00,0.963862234,0.966120507,0.976129206,0.955202873
2016/01/01 16:00,0.958288374,0.963141062,0.977952307,0.958625586
2016/01/01 17:00,0.956044253,0.960952405,0.969866288,0.95480865
2016/01/01 18:00,0.953065989,0.963250142,0.94378256,0.956981391
2016/01/01 19:00,0.935099925,0.958934059,0.901152302,0.957475934
2016/01/01 20:00,0.905059507,0.9513049,0.808491355,0.959366581
2016/01/01 21:00,0.876291865,0.932067788,0.684133785,0.946135414
2016/01/01 22:00,0.815994208,0.885589935,0.533760763,0.918074628
2016/01/01 23:00,0.731035595,0.822474838,0.418754885,0.879191082
2016/01/02 00:00,0.608505973,0.761797229,0.351891802,0.844854754
2016/01/02 01:00,0.475712865,0.701100892,0.355630176,0.789359594
2016/01/02 02:00,0.349267468,0.642269768,0.384414,0.698477837
2016/01/02 03:00,0.238808703,0.538249894,0.417948975,0.604343754
2016/01/02 04:00,0.215293901,0.483955081,0.481659628,0.498961418
2016/01/02 05:00,0.232718127,0.41425511,0.555454617,0.397019893
2016/01/02 06:00,0.281053836,0.357319242,0.621494483,0.31110177
2016/01/02 07:00,0.339058918,0.311417414,0.66160099,0.250512712
2016/01/02 08:00,0.374665255,0.282521883,0.698659788,0.213008113
2016/01/02 09:00,0.41121804,0.245043035,0.712963557,0.184957325
2016/01/02 10:00,0.453514999,0.186112958,0.73041212,0.142444835
2016/01/02 11:00,0.494028981,0.161100044,0.756756345,0.106908186
2016/01/02 12:00,0.558755623,0.215907622,0.770834061,0.101525606
2016/01/02 13:00,0.603495086,0.338607373,0.748486479,0.1285638
2016/01/02 14:00,0.557305197,0.402409576,0.648839193,0.155969686
2016/01/02 15:00,0.445248824,0.411455043,0.522568291,0.15663311
2016/01/02 16:00,0.338430067,0.379170101,0.407201537,0.13510567
2016/01/02 17:00,0.243589324,0.342878725,0.323532567,0.108502178
2016/01/02 18:00,0.157421742,0.304720732,0.306588095,0.088483062
2016/01/02 19:00,0.144367606,0.28052087,0.355033512,0.074627376
2016/01/02 20:00,0.232173551,0.291731257,0.430971337,0.084623505
2016/01/02 21:00,0.324859949,0.303812836,0.507741297,0.144504758
2016/01/02 22:00,0.385109101,0.272251584,0.614482767,0.201210591
2016/01/02 23:00,0.497932485,0.259885407,0.729938133,0.172403104
2016/01/03 00:00,0.599133425,0.324351698,0.813192377,0.209160073
2016/01/03 01:00,0.688226447,0.434569963,0.876595189,0.307728562
2016/01/03 02:00,0.76433951,0.568816472,0.889358246,0.402105396
2016/01/03 03:00,0.831561989,0.697020028,0.846743034,0.509940514
2016/01/03 04:00,0.867021431,0.797999357,0.777474075,0.620511031
2016/01/03 05:00,0.837401774,0.863531774,0.721184635,0.714415995
2016/01/03 06:00,0.770599624,0.876780191,0.685211567,0.792849193
2016/01/03 07:00,0.618287015,0.799137461,0.647360003,0.864373649
2016/01/03 08:00,0.520295502,0.692558324,0.655884314,0.866021581
2016/01/03 09:00,0.484781742,0.573018627,0.647035457,0.848072895
2016/01/03 10:00,0.440210677,0.457125102,0.631811173,0.773645521
2016/01/03 11:00,0.396037431,0.369813362,0.641888932,0.639865777
2016/01/03 12:00,0.399146965,0.339664297,0.650246767,0.531663761
2016/01/03 13:00,0.416613031,0.370898476,0.677522537,0.443775875
2016/01/03 14:00,0.452119126,0.407260852,0.687815061,0.374782788
2016/01/03 15:00,0.498844253,0.437798951,0.686194298,0.373933973
2016/01/03 16:00,0.530861287,0.444489893,0.683863951,0.406504578
2016/01/03 17:00,0.506010917,0.445868734,0.686820139,0.419074631
2016/01/03 18:00,0.497382237,0.42250218,0.68585028,0.406792091
2016/01/03 19:00,0.469604973,0.411984973,0.692515208,0.390331391
2016/01/03 20:00,0.444443544,0.409415555,0.704069159,0.393489487
2016/01/03 21:00,0.413268591,0.41652175,0.702807565,0.362441962
2016/01/03 22:00,0.37509783,0.403064689,0.687924449,0.337694344
2016/01/03 23:00,0.347640019,0.375796877,0.670479553,0.316135569
2016/01/04 00:00,0.318288529,0.373876891,0.647915691,0.294368845
2016/01/04 01:00,0.279740089,0.344958273,0.620072485,0.276992155
2016/01/04 02:00,0.230802368,0.319121665,0.567077149,0.268630616
2016/01/04 03:00,0.188937282,0.29504073,0.53503484,0.269975291
2016/01/04 04:00,0.158567083,0.264453784,0.524874603,0.272955942
2016/01/04 05:00,0.14488985,0.235854401,0.513082193,0.29645
2016/01/04 06:00,0.139193323,0.207655109,0.50498614,0.311367653
2016/01/04 07:00,0.135206732,0.189597418,0.489990084,0.325228543
2016/01/04 08:00,0.135809501,0.173718145,0.46348813,0.338899427
2016/01/04 09:00,0.13160257,0.155151667,0.408178277,0.336921359
2016/01/04 10:00,0.118171926,0.128913299,0.348281726,0.308651439
2016/01/04 11:00,0.105181835,0.110390595,0.296816698,0.300940593
2016/01/04 12:00,0.097170038,0.093668038,0.276234929,0.311752522
2016/01/04 13:00,0.100232466,0.0786365,0.276417749,0.335532336
2016/01/04 14:00,0.117580765,0.071628575,0.287939391,0.350426905
2016/01/04 15:00,0.151021247,0.074452056,0.317777385,0.371476066
2016/01/04 16:00,0.186841436,0.081307514,0.356938183,0.381653159
2016/01/04 17:00,0.193321414,0.089688659,0.390618303,0.387664177
2016/01/04 18:00,0.187864578,0.098110108,0.400138899,0.392024086
2016/01/04 19:00,0.185102263,0.113828679,0.425751399,0.420940369
2016/01/04 20:00,0.188739755,0.133968287,0.438109514,0.437120377
2016/01/04 21:00,0.199632674,0.150604735,0.435035734,0.44431948
2016/01/04 22:00,0.214498334,0.163840675,0.431869977,0.466276851
2016/01/04 23:00,0.233976989,0.179446483,0.421892287,0.496890151
2016/01/05 00:00,0.257146567,0.201535459,0.419875415,0.498413707
2016/01/05 01:00,0.279830096,0.230544593,0.421578602,0.500414412
2016/01/05 02:00,0.304631542,0.256276592,0.407764936,0.521147651
2016/01/05 03:00,0.325902206,0.272278224,0.413790771,0.523340659
2016/01/05 04:00,0.350860215,0.296200969,0.436354321,0.548648724
2016/01/05 05:00,0.400860747,0.322430157,0.46501305,0.553854088
2016/01/05 06:00,0.456698383,0.34372371,0.493856225,0.565217396
2016/01/05 07:00,0.525515785,0.384715515,0.539198319,0.559968539
2016/01/05 08:00,0.555725069,0.399853114,0.556823345,0.56377203
2016/01/05 09:00,0.576912516,0.420130556,0.568940775,0.552635408
2016/01/05 10:00,0.562702784,0.421456181,0.585194847,0.544368678
2016/01/05 11:00,0.540406657,0.422438475,0.613997136,0.536985057
2016/01/05 12:00,0.50722604,0.424553068,0.643748861,0.495424412
2016/01/05 13:00,0.487543167,0.470653866,0.667388305,0.483503196
2016/01/05 14:00,0.470496661,0.496265239,0.670934431,0.456647427
2016/01/05 15:00,0.462267132,0.544043621,0.672729837,0.435677826
2016/01/05 16:00,0.451882421,0.581690011,0.686470758,0.410230276
2016/01/05 17:00,0.451245461,0.579323799,0.68021764,0.381522332
2016/01/05 18:00,0.431097414,0.570721509,0.667963701,0.359244998
2016/01/05 19:00,0.401620495,0.574926303,0.639346584,0.328515571
2016/01/05 20:00,0.352095003,0.563270897,0.584378868,0.297422077
2016/01/05 21:00,0.295622329,0.529492468,0.50953941,0.277753679
2016/01/05 22:00,0.242224846,0.483439636,0.438041403,0.25596066
2016/01/05 23:00,0.183355668,0.457262606,0.374478855,0.221405146
2016/01/06 00:00,0.136823939,0.417091526,0.326360155,0.191577737
2016/01/06 01:00,0.09142499,0.366820524,0.272318268,0.159735622
2016/01/06 02:00,0.050822925,0.313614329,0.214011352,0.12691529
2016/01/06 03:00,0.056990868,0.267741459,0.210170135,0.095353671
2016/01/06 04:00,0.093827686,0.224008886,0.201435502,0.068751559
2016/01/06 05:00,0.166116094,0.159930165,0.183545367,0.053501607
2016/01/06 06:00,0.213088251,0.094328139,0.207540924,0.057197934
2016/01/06 07:00,0.285379051,0.082763402,0.207853303,0.084097517
2016/01/06 08:00,0.312647859,0.097293152,0.191008123,0.134695785
2016/01/06 09:00,0.353389156,0.062913917,0.251720663,0.188601852
2016/01/06 10:00,0.432804622,0.067569254,0.358882223,0.256716706
