reference,https://zenodo.org/records/3949553,,,
comment,average capacity factors of pv in each province based on weighted average of counties by land area and weighted between flat plate and rooftop by current capacity,,,
nodes,CON,LEI,MUN,ULS
techs,pv,pv,pv,pv
parameters,source_use_max,source_use_max,source_use_max,source_use_max
timesteps,,,,
2016/01/01 00:00,0,0,0,0
2016/01/01 01:00,0,0,0,0
2016/01/01 02:00,0,0,0,0
2016/01/01 03:00,0,0,0,0
2016/01/01 04:00,0,0,0,0
2016/01/01 05:00,0,0,0,0
2016/01/01 06:00,0,0,0,0
2016/01/01 07:00,0,0,0,0
2016/01/01 08:00,0,0,0,0
2016/01/01 09:00,0.003477903,0.00458268,0.002806344,0.002767216
2016/01/01 10:00,0.024846978,0.022006343,0.010058609,0.019962609
2016/01/01 11:00,0.031364808,0.030336195,0.014560437,0.042653811
2016/01/01 12:00,0.023849877,0.024693936,0.016988613,0.045427363
2016/01/01 13:00,0.015535792,0.015793539,0.015415444,0.028329568
2016/01/01 14:00,0.006680426,0.006189762,0.010289904,0.010045053
2016/01/01 15:00,0,0.000182335,0.002276436,0
2016/01/01 16:00,0,0,0,0
2016/01/01 17:00,0,0,0,0
2016/01/01 18:00,0,0,0,0
2016/01/01 19:00,0,0,0,0
2016/01/01 20:00,0,0,0,0
2016/01/01 21:00,0,0,0,0
2016/01/01 22:00,0,0,0,0
2016/01/01 23:00,0,0,0,0
2016/01/02 00:00,0,0,0,0
2016/01/02 01:00,0,0,0,0
2016/01/02 02:00,0,0,0,0
2016/01/02 03:00,0,0,0,0
2016/01/02 04:00,0,0,0,0
2016/01/02 05:00,0,0,0,0
2016/01/02 06:00,0,0.00E+00,0,0
2016/01/02 07:00,0,0,0,0
2016/01/02 08:00,0,0,0,0
2016/01/02 09:00,0.000833229,0.009197277,0.007860756,0.001531509
2016/01/02 10:00,0.015561296,0.038247868,0.036008151,0.0156228
2016/01/02 11:00,0.033027644,0.057751058,0.086999228,0.028052109
2016/01/02 12:00,0.048658685,0.059626525,0.149581449,0.026745585
2016/01/02 13:00,0.060721239,0.05291622,0.201282476,0.020555328
2016/01/02 14:00,0.058113321,0.034012251,0.173936352,0.011132236
2016/01/02 15:00,0.02146154,0.01117109,0.07677695,0.002024051
2016/01/02 16:00,0,0,0,0
2016/01/02 17:00,0,0,0,0
2016/01/02 18:00,0,0,0,0
2016/01/02 19:00,0,0,0,0
2016/01/02 20:00,0,0,0,0
2016/01/02 21:00,0,0,0,0
2016/01/02 22:00,0,0,0,0
2016/01/02 23:00,0,0,0,0
2016/01/03 00:00,0,0,0,0
2016/01/03 01:00,0,0,0,0
2016/01/03 02:00,0,0,0,0
2016/01/03 03:00,0,0,0,0
2016/01/03 04:00,0,0,0,0
2016/01/03 05:00,0,0,0,0
2016/01/03 06:00,0,0,0,0
2016/01/03 07:00,0,0,0,0
2016/01/03 08:00,0,0,0,0
2016/01/03 09:00,0.006522031,0.011228181,0.010755283,0
2016/01/03 10:00,0.04018291,0.05230224,0.037516803,0.008235779
2016/01/03 11:00,0.072329784,0.089754745,0.055160201,0.024157315
2016/01/03 12:00,0.082784462,0.101879166,0.06733858,0.043305991
2016/01/03 13:00,0.06876263,0.08774581,0.071177225,0.055798135
2016/01/03 14:00,0.040057509,0.060598062,0.049230993,0.044598441
2016/01/03 15:00,0.009339225,0.018245884,0.01571675,0.011593205
2016/01/03 16:00,0,0,0,0
2016/01/03 17:00,0,0,0,0
2016/01/03 18:00,0,0,0,0
